condition,label,f1,support
naive,account_issue,0.5,2
naive,complaint,0.0,2
naive,general_question,0.0,2
naive,refund_request,0.6666666666666666,2
naive,technical_problem,0.5,2
few_shot,account_issue,0.6666666666666666,2
few_shot,complaint,0.6666666666666666,2
few_shot,general_question,0.0,2
few_shot,refund_request,0.5,2
few_shot,technical_problem,0.5,2
self_critique,account_issue,0.6666666666666666,2
self_critique,complaint,0.0,2
self_critique,general_question,0.28571428571428575,2
self_critique,refund_request,0.8,2
self_critique,technical_problem,0.0,2
realism_only,account_issue,0.5,2
realism_only,complaint,0.0,2
realism_only,general_question,0.3333333333333333,2
realism_only,refund_request,0.8,2
realism_only,technical_problem,0.0,2
diversity_only,account_issue,0.0,2
diversity_only,complaint,0.0,2
diversity_only,general_question,0.5,2
diversity_only,refund_request,0.8,2
diversity_only,technical_problem,0.0,2
full_classic,account_issue,0.6666666666666666,2
full_classic,complaint,1.0,2
full_classic,general_question,0.6666666666666666,2
full_classic,refund_request,0.8,2
full_classic,technical_problem,0.0,2
full_attrforge,account_issue,0.5,2
full_attrforge,complaint,0.0,2
full_attrforge,general_question,0.3333333333333333,2
full_attrforge,refund_request,0.5,2
full_attrforge,technical_problem,0.6666666666666666,2
